"","sp","lon","lat","oppc"
"169","haddadus_binotatus",-40.746111,-20.040556,618
"170","haddadus_binotatus",-44.27389,-20.04917,614
"171","haddadus_binotatus",-41.19833,-20.91417,617
"172","haddadus_binotatus",-40.5625,-19.9425,600
"173","haddadus_binotatus",-40.8,-20.533333,618
"174","haddadus_binotatus",-43.05778,-22.0025,648
"175","haddadus_binotatus",-39.3025,-15.56306,526
"176","haddadus_binotatus",-40.574603,-19.886667,600
"177","haddadus_binotatus",-43.23333,-22.93333,648
"178","haddadus_binotatus",-42.73222,-19.71222,598
"179","haddadus_binotatus",-43.17861,-22.505,648
"180","haddadus_binotatus",-42.00139,-20.12389,616
"181","haddadus_binotatus",-40.42,-20.263889,618
"182","haddadus_binotatus",-48.9175,-27.09806,685
"183","haddadus_binotatus",-44.29028,-22.41972,647
"184","haddadus_binotatus",-47.55528,-24.70806,667
"185","haddadus_binotatus",-47.478669,-20.6675,611
"186","haddadus_binotatus",-40.533333,-19.95,600
"187","haddadus_binotatus",-41.0055,-20.655917,617
"188","haddadus_binotatus",-43.78611,-20.66028,615
"189","haddadus_binotatus",-43.4975,-20.69,615
"190","haddadus_binotatus",-40.4975,-20.666667,618
"191","haddadus_binotatus",-42.5333,-22.2667,649
"192","haddadus_binotatus",-54.83,-23.63,651
"193","haddadus_binotatus",-42.9097222,-21.9577778,634
"194","haddadus_binotatus",-43.2333,-22.9,648
"195","haddadus_binotatus",-44.56333,-22.49611,647
"196","haddadus_binotatus",-47.4935,-24.373,667
"197","haddadus_binotatus",-41.36639,-21.06417,635
"198","haddadus_binotatus",-42.52167,-22.05111,649
"199","haddadus_binotatus",-40.563056,-19.855,600
"200","haddadus_binotatus",-42.98194,-22.53722,649
"201","haddadus_binotatus",-43.70028,-22.24556,648
"202","haddadus_binotatus",-40.529722,-20.100556,618
"203","haddadus_binotatus",-43.04056,-22.65278,648
"204","haddadus_binotatus",-40.825694,-20.387167,618
"205","haddadus_binotatus",-40.335111,-19.818889,600
"206","haddadus_binotatus",-48.93,-26.2,NA
"207","haddadus_binotatus",-40.466667,-20.266667,618
"208","haddadus_binotatus",-40.829444,-20.404722,618
"209","haddadus_binotatus",-41.28472,-13.41056,482
"210","haddadus_binotatus",-42.14861,-20.61444,616
"211","haddadus_binotatus",-45.22972,-22.84694,646
